company_name,job_title,city,company_location,salary,snippet
"JPMorgan Chase Bank, N.A.","FX Product Experience and Onboarding Manager, VP",Jersey City, NJ,,Establish clear client needs and ensure the product experience matches what is required of our client needs and to further grow the business.
LaunchPad Lab,Salesforce Developer,Remote,Remote,,2+ years of professional software development experience.You love to work with clients to create software applications that revolutionize their business.
SSP America,IT Data Support Specialist - Restaurant Industry,Ashburn, VA 20147,,"Understanding of support tools, techniques, and how technology is used to provide IT services.We are passionate about bringing cool, authentic restaurants to…"
"JPMorgan Chase Bank, N.A.",User Experience Research Lead,Jersey City, NJ,,Executive presence: able to work with very senior stakeholders and provide top-executive-quality deliverables and input when needed.
TMS LLC,Azure Cloud Architect - FullTime Opportunity - Remote,Dallas, TX,,Experience building and supporting mission critical technology components with DR capabilities.Experience in distilling complex technical challenges to…
Lincoln Financial,"Data Science Specialist, Data Science",Boston, MA,,"May facilitate routine training on analytics software (e.g. Planview, MS Power BI, QlikView).This position will perform and deliver routine data analytics and…"
"JPMorgan Chase Bank, N.A.",Home Lending Product Data Architect,Plano, TX,,"An ideal candidate would come from either data architecture, software engineering with database development, or data science and analytics background and will…"
"JPMorgan Chase Bank, N.A.",Zelle Growth Product Manager,New York, NY,,"Lead a team of product managers and experimentation managers focused on growing the existing product portfolio, as well as conceiving, building, and launching…"
"JPMorgan Chase Bank, N.A.",Wholesale Payments - Open Banking & API - Product Manager/De...,New York, NY,,"Our Open banking and API team is on the forefront of this journey, building the foundation for the next generaton of banking services."
"JPMorgan Chase Bank, N.A.",IT Cloud Architect,Westerville, OH,,"Strategic thinking and passion for business strategy and business processes.You'll collaborate with internal teams and business leaders alike, creating…"
Abbott Laboratories,Principal Embedded Software Test Lead Engineer,Alameda, CA,,Solid knowledge of software engineering principles.10 plus years in software engineering with leadership experience.
DISH,Business Analyst - Settlements,Englewood, CO 80112,"$85,905 a year","From product development to software design to big data and beyond, our people play vital roles in connecting consumers with the products and platforms of…"
Alpha Silicon,Build and Release Engineer,Austin, TX,$50 - $55 an hour,"Manage the build & release process for various software and firmware releases.Implement standard methodologies for building, testing, and releasing software."
"JPMorgan Chase Bank, N.A.",Market Risk Quantitative Research - VP - Python Developer,New York, NY,,"Overall, the candidate will need to work closely with teams in New York, London, and Mumbai, and will need to be proactive to improve the market data time…"
Citi,Estate Management - Apps Dev Sr. Programmer Analyst,Tampa, FL,,Experience in systems analysis and programming of software applications.The Applications Development Senior Programmer Analyst is an intermediate level…
AV Staffing Solutions,"Sr. Audio Visual Project Manager - remote-(Orlando, FL)",Orlando, FL 32789,,"In this role, you will deliver projects to specification, on time, on budget and most importantly, to the client's satisfaction."
LogixTech Solutions,Help Desk Technician,Bismarck, ND,$18 - $20 an hour,"Establish and maintain documentation files of computer hardware and software configurations.Train users on fundamentals of new operating systems, software…"
"JPMorgan Chase Bank, N.A.",Enterprise Service Integration Lead,Apple Valley, CA 92307,,"Our team is responsible for making cloud services available within the bank, leveraging native services from multiple cloud service providers to deploy scalable…"
WALGREENS,Senior Manager IT,Deerfield, IL 60015,,Provides leadership and manages team(s) responsible for developing and implementing protocols that impact the daily operational activities of the specified area…
"JPMorgan Chase Bank, N.A.",Card Authorizations Product Quality Analyst,Wilmington, DE,,"The Card Authorizations Product is responsible for the availability, speed, and accuracy of Credit Card Transaction Decisions, with ongoing focus on driving…"
"JPMorgan Chase Bank, N.A.",Senior Network Systems Engineer,Columbus, OH,,"Your expertise in analyzing complex data systems, anticipating problems, and finding ways to mitigate risk, will be key in leading a high-performing team to…"
Deloitte,GPS Salesforce Developer,Houston, TX 77002 (Downtown area),,Serve as an integrator between business needs and technology solutions.Problem solve and offer ideas to solve client issues.
"City of Dallas, TX",Network Engineer,Dallas, TX 75201 (Downtown area),"$70,081 - $87,601 a year","1 Designs, selects, tests, assembles, configures and standardizes the technology model for use in determining system hardware and software requirements;…"
KBR,Senior Ground Systems Engineer,Fulton, MD,,"Space to Ground communications systems technology, hardware and software including:5+years applicable progressively complex systems engineering experience,…"
NewGig,Software Test Engineer,Portsmouth, NH,"$80,000 - $120,000 a year",You will be working with our new product engineering team and Engineering Manager to architect and develop test software solutions for our cutting edge products…
Rush Enterprises,Sr. SAP Business Analyst,New Braunfels, TX 78130,"$125,000 - $145,000 a year","SAP Business Analyst* is responsible for defining detailed requirements, analyzing business needs, and validating SAP solutions with appropriate business…"
Perspective Talent LLC,System Administrator (w/ Cloud Experience),Milwaukee, WI,"Up to $65,000 a year","The ideal candidate will have a bias for delivering results, a passion for solving problems, excellent analytical and problem-solving skills, and can see the…"
Belcan,Web Developer II,Seattle, WA,,"Use design software to create mockups and html prototypes for new features.Develop optimized/cross-platform front-end code in CSS/XHTML, and JavaScript."
"Systems Definition, Inc.",Full Stack Java Software Engineer – Top Secret Clearance REQ...,Reston, VA,"$90,000 - $225,000 a year","We have developed innovative software applications to support First Responder safety and accountability activities, including applications used daily by FDNY…"
Bionaut Labs,Embedded Software Engineer (Junior),Los Angeles, CA 90034 (Palms area),"$80,000 - $150,000 a year",Develop the safety-critical Bionaut mission software.Zero to five years of related experience developing device software.Create a safe and reliable device.
Apple,Software Engineer - AMP Commerce Engineering,New York, NY,,"You’ll build services and application components, shared across applications, to support very high levels of transactional integrity, scalability, availability,…"
USAA,Software Engineer Lead (100% Remote Opportunity),San Antonio, TX 78206 (King William area),,"These benefits include comprehensive medical, dental and vision plans, 401(k), pension, life insurance, parental benefits, adoption assistance, paid time off…"
AE2S,Software Engineer,Maple Grove, MN 55369,"$80,000 a year","100-percent paid Family Health Insurance.100-percent paid Employee Dental and Vision Insurance.OpWorks empowers Water, Wastewater, and Industrial entities…"
Verys,Java Software Engineer,Remote,United States,,"You’re experienced working with a major cloud platform – AWS, Azure, or GCP..Flexible hours and uncapped paid time off.You are highly skilled with SQL."
Mercatalyst,Salesforce Software Developer,Mountain View, CA,,"Experience with the Force.com platform, AppExchange, Apex, Visualforce, SOQL, and SOSL.You’ll be responsible for the software that powers a variety of internal…"
Rural Sourcing Inc,.NET Developer,Remote,Remote,,"NET Developer with experience in C# to build scalable, predictable, high-quality and high-performing web applications on the Microsoft technology stack."
Intuitive,Business Systems Engineer,Sunnyvale, CA 94086,,"The ideal candidate has a strong understanding of and experience with new product development for medical devices or high technology products, enterprise level…"
Sixthman (Norwegian Cruise Lines),Junior Software Engineer,Atlanta, GA 30312 (Grant Park area),,2+ years of software engineering experience.You work with our senior software engineers to implement quality technical solutions with their guidance to assist…
Northwestern Mutual,Software Engineer,Milwaukee, WI,,"Knowledge of engineering standard methodologies; including analyzing, designing, developing, deploying and supporting software solutions and infrastructure."
BP,Senior Software Developer,Chicago, IL 60695 (Loop area),,This custom software either supports revenue earning activity or helps reduce costs within BP functions by automating manual activity.
BOEING,WGS F-11 Software Engineer,Colorado Springs, CO 80901,"$93,000 - $165,000 a year",Strong background in C++ software development.The Boeing Company also provides eligible employees with an opportunity to enroll in a variety of benefit…
"Bitcentral, Inc.",Sr. / Principal Software Engineer – C# .NET Core Development,Newport Beach, CA 92660,"$130,000 - $155,000 a year",NET Core Developers to help us design/code/test new features for existing and future products.Our systems are primarily used for broadcast TV News production…
SAIC,Software Engineer,Reston, VA,"$125,001 - $150,000 a year",In-depth knowledge of software n-tier architectures.Clearance Level Must Be Able to Obtain: Secret.Evaluates legacy application architecture and proposes to…
Save on Branson,IT Assistant,Branson, MO,$15 - $18 an hour,To provide technical support and assistance to company operations under the direction of the company IT Manager.Desktop Support - Devices and Support Tickets.
Confidential,Senior Systems Engineer,Hinsdale, IL 60521,"$110,000 - $140,000 a year",Assist with Development of IT Roadmap.IT Documentation and written processes.Building rapport and trusting relationships with clients.
State of CT Judicial Branch,Desktop Services Analyst -Information Technology Analyst I,Hartford, CT 06106,,"The State of Connecticut Judicial Branch offers its employees a top notch array of health and retirement benefits including but not limited to: paid holidays,…"
PNC Financial Services Group,Bus Analyst-IT,Birmingham, AL 35233,,"Translates business needs, processes and procedures into a workable system, and articulates on specific software requirements by communicating about these…"
SPECTRUM,Business Analyst,Stamford, CT 06901 (Downtown area),,"Excellent knowledge of software applications such as Word, Excel, etc.This position is responsible for analyzing business operations and recommending solutions…"
Advantage Solutions,Systems Administrator,Rogers, AR 72756,,"Recommend software and hardware enhancements.Build, configure, and troubleshoot software/hardware enhancements, application deployments, and infrastructure up…"
Valorem Foundation,Blockchain Developer (Solidity Contracts),Remote,Remote,From $15 an hour,"Required Experience in Cryptography, Smart Contract Development, Web-Development includes:Design of consensus protocols and security patterns for the network."
"4A Consulting, LLC",Business Analyst/Data Analyst,Remote,Remote,$38 an hour,"We have extensive experience in delivering superb IT consultative and support services to Federal, State, and local agencies, including the Centers for Medicare…"
Magna5 MS LLC,Tier 1 IT Support Technician - Fully Remote,Pittsburgh, PA 15201 (Central Lawrenceville area),,"Document resolutions and build knowledge base articles.As a member of the Support Center team, the Tier 1 Technician is responsible for basic customer issues…"
Sycamore Technical Services,Software Engineer,King of Prussia, PA 19406,"$85,000 - $160,000 a year","King Of Prussia, PA 19406: Reliably commute or planning to relocate before starting work (Preferred)."
SPECTRIO LLC,Software Engineer,Remote,Florida,,"You will design, code, and support leading-edge performance marketing web and mobile applications.The Software Engineer is passionate about the Spectrio…"
